samp_no,chain_no,age,prop,N
470001,2,10,0,74
470001,2,11,0,21
470001,3,0,0.20175438596491227,114
470001,3,1,0.21844660194174756,206
470001,3,2,0.1967741935483871,310
470001,3,3,0.1642156862745098,408
470001,3,4,0.13062098501070663,467
470001,3,5,0.09829059829059829,468
470001,3,6,0.07226107226107226,429
470001,3,7,0.03498542274052478,343
470001,3,8,0,235
470001,3,9,0,141
470001,3,10,0,74
470001,3,11,0,21
470001,4,0,0.17543859649122806,114
470001,4,1,0.20388349514563106,206
470001,4,2,0.1967741935483871,310
470001,4,3,0.13480392156862744,408
470001,4,4,0.13276231263383298,467
470001,4,5,0.09615384615384616,468
470001,4,6,0.06526806526806526,429
470001,4,7,0.023323615160349854,343
470001,4,8,0,235
470001,4,9,0,141
470001,4,10,0,74
470001,4,11,0,21
470001,5,0,0.21052631578947367,114
